,epoch,Training Loss,Valid. Loss,Training Time,Validation Time
0,1,3.2621233958491898,3.0307039583867024,0:52:20,0:01:43
1,2,3.023353491312299,2.9560402688643745,0:52:24,0:01:44
2,3,2.9392448504371718,2.91527145878408,0:52:09,0:01:43
3,4,2.880772186637186,2.8922314525145216,0:52:30,0:01:44
4,5,2.8367336523352766,2.8789031448700615,0:52:38,0:01:43
5,6,2.8018576196974747,2.86818201512222,0:52:49,0:01:43
6,7,2.774859006450795,2.8659412969692117,0:52:41,0:01:43
7,8,2.755895089971168,2.8663353509428093,0:52:46,0:01:43
