epoch "Training Loss" "Valid. Loss" "Training Time" "Validation Time"
1 1.9809719980547025 1.635603801130106 0:17:33 0:00:36
2 1.6051894489912812 1.5415511276013554 0:17:29 0:00:36
3 1.5180381638614724 1.4941407902933919 0:17:37 0:00:37
4 1.45061080717676 1.4513711510374905 0:17:51 0:00:37
5 1.392673978168177 1.4246400354769284 0:17:45 0:00:36
6 1.3441294360915157 1.4090750484039989 0:17:31 0:00:36
7 1.3041468062860195 1.4024816610561772 0:17:30 0:00:36
8 1.2753461829886248 1.4022318456119622 0:17:32 0:00:36
