,epoch,Training Loss,Valid. Loss,Training Time,Validation Time,Validation Accuracy
0,1,5.763846580485842,5.484955437329351,0:29:49,0:01:06,10.337
1,2,5.308669627865562,5.170168346288253,0:29:47,0:01:06,13.189
2,3,5.026646545993861,4.90443136740704,0:29:46,0:01:06,15.765
3,4,4.734845857164559,4.667934836173544,0:29:47,0:01:06,17.517
4,5,4.431236152084749,4.434172605981632,0:29:48,0:01:06,19.359
5,6,4.12875365614213,4.170235784686342,0:29:49,0:01:06,20.814
6,7,3.8449975064996975,3.979483953544072,0:29:49,0:01:06,21.738
7,8,3.5827034149018027,3.8287286965214475,0:29:51,0:01:06,22.566
8,9,3.343704145516145,3.7178769233275433,0:29:47,0:01:06,23.17
9,10,3.1226554976117216,3.6331775881806196,0:29:47,0:01:06,23.633
10,11,2.92096098508173,3.5667741152704977,0:29:47,0:01:06,24.151
11,12,2.734853885550819,3.5364421910169175,0:29:47,0:01:06,24.282
12,13,2.5697376237116303,3.5122924872807095,0:29:49,0:01:06,24.547
13,14,2.431506073651189,3.5006728087152754,0:29:49,0:01:06,24.745
14,15,2.3258430925245577,3.491177347241616,0:29:49,0:01:06,24.86
