,epoch,Training Loss,Valid. Loss,Training Time,Validation Time,Validation Accuracy
0,1,5.689177486234137,5.417859933502919,0:20:41,0:00:42,9.864
1,2,5.152838433813694,4.932279207732383,0:20:39,0:00:40,13.464
2,3,4.703920866071029,4.550391049699301,0:20:39,0:00:41,15.708
3,4,4.294446242599037,4.21677422950608,0:20:38,0:00:40,17.908
4,5,3.99131840706075,4.0585499151501985,0:20:38,0:00:40,19.051
